"﻿""Key""","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AJS7AN5J","conferencePaper","2025","Abelezele, S.A.; Sung, W.J.; Ramamurthy, A.; Jin, H.; Mavris, D.","Empirical Assessment of Graph Neural Network Convolution Operators for AC-OPF Learning","Proc. Workshop Des. Autom. CPS IoT, DESTION , Cyber-Phys. Syst. Internet-of-Things Week, CPS-IoT Week Workshops","9798400716041 (ISBN)","","10.1145/3722573.3727828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011042580&doi=10.1145%2F3722573.3727828&partnerID=40&md5=0bb44119bafbb1a309a3cb45a526971d","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","Association for Computing Machinery, Inc","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ5KJN7A","preprint","2021","Aboutalebi Zonouz, Mirkarim; Tarafdar Hagh, Mehrdad","Graph Neural Network for Power Flow Considering Line and Generator Contingencies","","","","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4480802","2021","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-08-13 14:28:01","","","","","","","<P Class=""Els-Title"">Graph Neural Network for Power Flow Considering Line and Generator Contingencies<O","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","4480802","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSM7DQV9","journalArticle","2025","Agarwal, L.; Jaint, B.; Mandpura, A.K.","Hybrid AI framework for detecting cyberattacks and predicting cascading failures in power systems","Sustainable Computing: Informatics and Systems","","22105379 (ISSN)","10.1016/j.suscom.2025.101222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018576897&doi=10.1016%2Fj.suscom.2025.101222&partnerID=40&md5=083ca5044af8f17a93f71744e39efad5","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","48","","Sustainable Computing: Informatics and Systems","","","","","","Elsevier Inc.","","English","","","Scopus","","","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3KK4KEM","conferencePaper","2025","Ahmadi, M.; Aly, H.","Multi-Objective Graph-Based Reinforcement Learning for Voltage and Frequency Stability in Grid-Connected Renewable Energy Systems","Int. Conf. Artif. Intell. Comput., Data Sci., Appl., ACDSA","9798331535629 (ISBN)","","10.1109/ACDSA65407.2025.11166238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018475568&doi=10.1109%2FACDSA65407.2025.11166238&partnerID=40&md5=2016fa9a9d668733b67ef770400fe9ac","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBYAFVFE","conferencePaper","2024","Ahmed, Shihab; Sun, Wei","Advancing the MILP-Based Load Restoration with Graph Neural Networks","2024 IEEE Texas Power and Energy Conference (TPEC)","979-8-3503-3120-2","","10.1109/TPEC60005.2024.10472188","https://ieeexplore.ieee.org/document/10472188/","2024-02-12","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-05-08 15:35:47","1-6","","","","","","","","","","","IEEE","College Station, TX, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE Texas Power and Energy Conference (TPEC)","","","","","","","","","","","","","","",""
"N259FSWU","journalArticle","2025","Ahshan, R.; Abid, M.S.; Al-Abri, M.","Geospatial Mapping of Large-Scale Electric Power Grids: A Residual Graph Convolutional Network-Based Approach with Attention Mechanism","Energy and AI","","26665468 (ISSN)","10.1016/j.egyai.2025.100486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000140338&doi=10.1016%2Fj.egyai.2025.100486&partnerID=40&md5=fce35b3fb48b728759dfbcc32e3b82e4","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","20","","Energy. AI.","","","","","","Elsevier B.V.","","English","","","Scopus","","","","","#done; #emerging-apps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FU43GGCQ","journalArticle","2024","Aironi, C.; Cornell, S.; Squartini, S.","A Graph-Based Neural Approach to Linear Sum Assignment Problems","International Journal of Neural Systems","","01290657 (ISSN)","10.1142/S0129065724500114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182770794&doi=10.1142%2fS0129065724500114&partnerID=40&md5=b5418e5734e0b82bf8d02a00fabf547c","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","3","34","","Int. J. Neural Syst.","","","","","","World Scientific","","English","","","Scopus","","","","","#done; #methodology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYVN5B5A","journalArticle","2024","Al-Ibraheemi, Zainab; Al-Janabi, Samaher","Sustainable energy: Advancing wind power forecasting with grey wolf optimization and GRU models","Results in Engineering","","25901230","10.1016/j.rineng.2024.102930","https://linkinghub.elsevier.com/retrieve/pii/S259012302401185X","2024-12","2026-03-20 01:23:07","2026-03-20 01:23:07","2025-04-04 13:18:08","102930","","","24","","Results in Engineering","Sustainable energy","","","","","Elsevier B.V.","","en","","","Scopus","","DOI.org (Crossref)","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSXTKD9Z","journalArticle","2025","Albeladi, F.; Basulaiman, K.; Barati, M.","Beyond GCN: Accurate Real-time Inertia Estimation with Multi-Head Spatial-Temporal Graph Attention Network Coupled with LSTM","IEEE Transactions on Industry Applications","","00939994 (ISSN); 19399367 (ISSN)","10.1109/TIA.2025.3618779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018360269&doi=10.1109%2FTIA.2025.3618779&partnerID=40&md5=b3a3fe1b6f1631255beb7eb5b889093e","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","IEEE Trans Ind Appl","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAR2X7E3","conferencePaper","2024","Alduaij, H.; Zhang, B.; Weng, Y.","Determining Feasibility of DC Power Flow Using Graph Neural Networks","","","","10.1109/PESGM51994.2024.10688632","","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Power and Energy Society General Meeting","","","","","","","","","","","","","","",""
